"state","bioguide","thomas","govtrack","opensecrets","votesmart","party","status","majority_leader","majority_whip","minority_leader","minority_whip","class","gender","ethnicity","name","slug","date_of_birth","entered_office","term_end","latitude","longitude","address","website","phone","twitter_url","facebook_url","photo_url","biography"
"CO","G000562","01998","412406","N00030780","30004","republican","active",false,false,false,false,"II","male","white","Cory Gardner","cory-gardner","1974-08-22","2015-01-03","2021-01-03",38.892542,-77.007415,"354 Russell Senate Office Building Washington DC 20510","http://www.gardner.senate.gov","202-224-5941","https://twitter.com/SenCoryGardner","https://www.facebook.com/SenCoryGardner","https://cdn.civil.services/senate/headshots/512x512/cory-gardner.jpg","Cory Gardner, a Senator and a Representative from Colorado; born in Yuma, Yuma County, Colo., on August 22, 1974; graduated from Yuma High School, Yuma, Colo., 1993; B.A., Colorado State University, Fort Collins, Colo., 1997; J.D., University of Colorado, Boulder, Colo., 2001; agricultural advocate; staff, United States Senator Wayne Allard of Colorado, 2002-2005; member of the Colorado state house of representatives, 2005-2010; elected as a Republican to the One Hundred Twelfth and to the succeeding Congress (January 3, 2011-January 3, 2015); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021."
"CO","B001267","01965","412330","N00030608","110942","democrat","active",false,false,false,false,"III","male","white","Michael Bennet","michael-bennet","1964-11-28","2009-01-21","2023-01-03",38.892542,-77.007415,"261 Russell Senate Office Building Washington DC 20510","http://www.bennet.senate.gov","202-224-5852","https://twitter.com/SenBennetCo","https://www.facebook.com/senatorbennet","https://cdn.civil.services/senate/headshots/512x512/michael-bennet.jpg","Michael Bennet, a Senator from Colorado; born in New Delhi, India, November 28, 1964; B.A., Wesleyan University, Middletown, Conn., 1987; J.D., Yale Law School, 1993, editor-in-chief of the Yale Law Journal; counsel to U.S. deputy attorney general 1995-1997; special assistant U.S. attorney, Conn., 1997; managing director, Anschutz Investment Co. 1997-2003; chief of staff to Mayor of Denver, Colo., 2003-2005; Superintendent, Denver Public Schools 2005-2009; appointed January 21, 2009, to the United States Senate for the term ending January 3, 2011, to fill the vacancy caused by the resignation of Kenneth L. Salazar; took the oath of office on January 22, 2009; elected to the U.S. Senate in 2010 for the term ending January 3, 2017; chair, Democratic Senatorial Campaign Committee (2013-2014)."
"CT","M001169","01837","412194","N00027566","17189","democrat","active",false,false,false,false,"I","male","white","Christopher Murphy","christopher-murphy","1973-08-03","2013-01-03","2019-01-03",38.892839,-77.004356,"136 Hart Senate Office Building Washington DC 20510","http://www.murphy.senate.gov","202-224-4041","https://twitter.com/ChrisMurphyCT","https://www.facebook.com/chrismurphyct","https://cdn.civil.services/senate/headshots/512x512/christopher-murphy.jpg","Christopher Murphy, a Senator and a Representative from Connecticut; born in White Plains, Westchester County, N.Y., August 3, 1973; B.A., Williams College, Williamstown, Mass., 1996; attended Exeter College, Oxford, England, 1994-1995; J.D., University of Connecticut, Hartford, Conn., 2002; lawyer, private practice; Southington, Conn., planning and zoning commission, 1997-1999; member of the Connecticut state house of representatives, 1999-2003; member of the Connecticut state senate, 2003-2006; elected as a Democrat to the One Hundred Tenth and to the two succeeding Congresses (January 3, 2007-January 3, 2013); was not a candidate for reelection to the House of Representatives but was elected as a Democrat to the United States Senate in 2012 for the term ending January 3, 2019."
"CT","B001277","02076","412490","N00031685","1568","democrat","active",false,false,false,false,"III","male","white","Richard Blumenthal","richard-blumenthal","1946-02-13","2011-01-05","2023-01-03",38.892839,-77.004356,"706 Hart Senate Office Building Washington DC 20510","http://www.blumenthal.senate.gov","202-224-2823","https://twitter.com/SenBlumenthal","https://www.facebook.com/SenBlumenthal","https://cdn.civil.services/senate/headshots/512x512/richard-blumenthal.jpg","Richard Blumenthal, a Senator from Connecticut; born in Brooklyn, N.Y., February 13, 1946; graduated Harvard University, B.A., 1967; attended Cambridge University, 1967-1968; graduated Yale University, J.D., 1973; editor-in-chief of the Yale Law Journal; served in the United States Marine Corps Reserves 1970-1976; White House aide 1969-1970; law clerk to United States Supreme Court Justice Harry A. Blackmun 1974-1975; administrative assistant to Senator Abraham Ribicoff 1975-1976; United States Attorney for Connecticut 1977-1981; lawyer; member of the Connecticut state house of representatives 1984-1987; member of the Connecticut state senate 1987-1990; attorney general of Connecticut 1991-2010; elected as a Democrat to the United States Senate in 2010 for the term ending January 3, 2017."
"DE","C000174","00179","300019","N00012508","22421","democrat","active",false,false,false,false,"I","male","white","Thomas Carper","thomas-carper","1947-01-23","2001-01-03","2019-01-03",38.892839,-77.004356,"513 Hart Senate Office Building Washington DC 20510","http://www.carper.senate.gov","202-224-2441","https://twitter.com/SenatorCarper","https://www.facebook.com/tomcarper","https://cdn.civil.services/senate/headshots/512x512/thomas-carper.jpg","Thomas Carper, a Senator and a Representative from Delaware; born in Beckley, Raleigh County, W.Va., January 23, 1947; attended public schools; graduated, Whetstone High School, Columbus, Ohio 1964; B.A., Ohio State University, Columbus 1968; University of Delaware, Newark, M.B.A. 1975; served in the United States Navy 1968-1973; Naval Reserve, commander, 1973-1991; Delaware State Treasurer 1976-1983; elected as a Democrat to the Ninety-eighth and to the four succeeding Congresses (January 3, 1983-January 3, 1993); Governor of Delaware 1993-2001; chairman of the National Governors Association 1998-1999; elected to the United States Senate in 2000 for term commencing January 3, 2001; reelected in 2006 and again in 2012 for the term ending January 3, 2019; chair, Committee on Homeland Security and Governmental Affairs (One Hundred Thirteenth Congress)."
"DE","C001088","01984","412390","N00031820","122834","democrat","active",false,false,false,false,"II","male","white","Chris Coons","chris-coons","1963-09-09","2010-11-15","2021-01-03",38.892542,-77.007415,"127A Russell Senate Office Building Washington DC 20510","http://www.coons.senate.gov","202-224-5042","https://twitter.com/SenCoonsOffice","https://www.facebook.com/senatorchriscoons","https://cdn.civil.services/senate/headshots/512x512/chris-coons.jpg","Chris Coons, a Senator from Delaware; born on September 9, 1963, in Greenwich, Conn.; B.A., Amherst College, 1985; J.D., Yale University Law School, 1992; M.A.R., Yale Divinity School, 1992; worked in the non-profit sector; attorney; served as president of the New Castle County Council 2001-2005; County Executive of New Castle County 2005-2010; elected as a Democrat to the United States Senate in the November 2, 2010, special election to the term ending January 3, 2015, a seat previously held by appointed Senator Edward E. Kaufman, and took the oath of office on November 15, 2010; reelected in 2014 for the term ending January 3, 2021."
"FL","N000032","00859","300078","N00009926","1606","democrat","active",false,false,false,false,"I","male","white","Bill Nelson","bill-nelson","1942-09-29","2001-01-03","2019-01-03",38.892839,-77.004356,"716 Hart Senate Office Building Washington DC 20510","http://www.billnelson.senate.gov","202-224-5274","https://twitter.com/SenBillNelson","https://www.facebook.com/billnelson","https://cdn.civil.services/senate/headshots/512x512/bill-nelson.jpg","Bill Nelson, a Senator and a Representative from Florida; born in Miami, Dade County, Fla., September 29, 1942; attended the Brevard County public schools; graduated from Melbourne High School 1960; B.A., Yale University 1965; J.D., University of Virginia School of Law 1968; admitted to the Florida bar in 1968 and commenced practice in Melbourne in 1970; served in United States Army Reserve 1965-1971; United States Army, active duty, 1968-1970, achieving rank of captain; legislative assistant to Governor Reubin Askew 1971; elected to Florida State house of representatives in 1972 and reelected in 1974 and 1976; elected as a Democrat to the Ninety-sixth and to the five succeeding Congresses (January 3, 1979-January 3, 1991); was not a candidate for reelection in 1990 to the House of Representatives, but was a candidate for nomination for governor of Florida; crewmember on the twenty-fourth flight of the Space Shuttle Columbia, January 12-18, 1986; Florida treasurer and insurance commissioner 1995-2000; elected to the United States Senate in 2000 for the term commencing January 3, 2001; reelected in 2006 and again in 2012 for the term ending January 3, 2019; Chair, Special Committee on Aging (One Hundred Thirteenth Congress)."
"FL","R000595","02084","412491","N00030612","1601","republican","active",false,false,false,false,"III","male","hispanic-american","Marco Rubio","marco-rubio","1971-05-28","2011-01-03","2023-01-03",38.892542,-77.007415,"284 Russell Senate Office Building Washington DC 20510","http://www.rubio.senate.gov","202-224-3041","https://twitter.com/SenRubioPress","https://www.facebook.com/SenatorMarcoRubio","https://cdn.civil.services/senate/headshots/512x512/marco-rubio.jpg","Marco Rubio, a Senator from Florida; born in Miami, Fla., May 28, 1971; graduated University of Florida, B.S., 1993; graduated University of Miami, J.D., 1996; lawyer; West Miami City Commission 1998-2000; member of the Florida house of representatives 2000-2008; majority leader 2003-2006; speaker 2006-2008; elected as a Republican to the United States Senate for the term ending January 3, 2017."
"GA","P000612","02286","412666","N00035516",,"republican","active",false,false,false,false,"II","male","white","David Perdue","david-perdue","1949-12-10","2015-01-03","2021-01-03",38.892542,-77.007415,"383 Russell Senate Office Building Washington DC 20510","http://www.perdue.senate.gov","202-224-3521","https://twitter.com/sendavidperdue","https://www.facebook.com/SenatorDavidPerdue","https://cdn.civil.services/senate/headshots/512x512/david-perdue.jpg","David Perdue, a Senator from Georgia; born in Macon, Bibb County, Ga., December 10, 1949; B.S., Georgia Institute of Technology, 1972; M.S., Georgia Institute of Technology, 1976; management consultant; company executive; elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021."
"GA","I000055","01608","400194","N00002593","1721","republican","active",false,false,false,false,"III","male","white","John Isakson","john-isakson","1944-12-28","2005-01-03","2023-01-03",38.892542,-77.007415,"131 Russell Senate Office Building Washington DC 20510","http://www.isakson.senate.gov","202-224-3643","https://twitter.com/SenatorIsakson","https://www.facebook.com/isakson","https://cdn.civil.services/senate/headshots/512x512/john-isakson.jpg","John Isakson, a Senator and a Representative from Georgia; born in Atlanta, Fulton County, Ga., December 28, 1944; graduated from the University of Georgia, Athens, Ga., 1966; served in the Georgia Air National Guard 1966-1972; member of the Georgia state general assembly, 1976-1990; unsuccessful candidate for election as Governor of Georgia 1990; member of the Georgia state senate 1993-1996; unsuccessful candidate for election to the United States Senate in 1996; chair of the Georgia board of education 1996; elected as a Republican to the One Hundred Sixth Congress by special election to fill the vacancy created when United States Representative Newt Gingrich did not take his seat in the One Hundred Sixth Congress; reelected to the two succeeding Congresses (February 23, 1999-January 3, 2005); was not a candidate for reelection to the House of Representatives, but was elected to the United States Senate in 2004; reelected in 2010 for the term ending January 3, 2017; chair, Committee on Veterans' Affairs (One Hundred Fourteenth Congress), Select Committee on Ethics (One Hundred Fourteenth Congress)."
"HI","H001042","01844","412200","N00028139","1677","democrat","active",false,false,false,false,"I","female","asian-american","Mazie Hirono","mazie-hirono","1947-11-03","2013-01-03","2019-01-03",38.892839,-77.004356,"330 Hart Senate Office Building Washington DC 20510","http://www.hirono.senate.gov","202-224-6361","https://twitter.com/MazieHirono","https://www.facebook.com/senatorhirono","https://cdn.civil.services/senate/headshots/512x512/mazie-hirono.jpg","Mazie Hirono, a Senator and a Representative from Hawaii; born in Fukushima, Japan, November 3, 1947; graduated from Kaimuki High School, Honolulu, Hawaii; B.A., University of Hawaii, Manoa, Hawaii, 1970; J.D., Georgetown University, Washington, D.C., 1978; lawyer, private practice; member of the Hawaii state house of representatives, 1981-1994; Hawaii lieutenant governor, 1994-2002; elected as a Democrat to the One Hundred Tenth and to the two succeeding Congresses (January 3, 2007-January 3, 2013); was not a candidate for reelection to the House of Representatives but was elected as a Democrat to the United States Senate in 2012 for the term ending January 3, 2019."
"HI","S001194","02173","412507","N00028138","17852","democrat","active",false,false,false,false,"III","male","white","Brian Schatz","brian-schatz","1972-10-20","2012-12-26","2023-01-03",38.892839,-77.004356,"722 Hart Senate Office Building Washington DC 20510","http://www.schatz.senate.gov","202-224-3934","https://twitter.com/SenBrianSchatz","https://www.facebook.com/SenBrianSchatz","https://cdn.civil.services/senate/headshots/512x512/brian-schatz.jpg","Brian Schatz, a Senator from Hawaii; born in Ann Arbor, Washtenaw County, Mich., October 20, 1972; attended Punahou School in Honolulu, Hawaii; B.A. Pomona College 1994; teacher; member of the Hawaii state house of representatives, 1998-2006; CEO, Helping Hands Hawaii, 2002-2010; Chairman, Democratic Party of Hawaii, 2008-2011; Hawaii lieutenant governor, 2010-2012; appointed as a Democrat to the United States Senate on December 26, 2012, to fill the vacancy caused by the death of Daniel Inouye, and took the oath of office on December 27, 2012; elected in 2014 in a special election for the term ending January 3, 2017."
"IA","E000295","02283","412667","N00035483",,"republican","active",false,false,false,false,"II","female","white","Joni Ernst","joni-ernst","1970-07-01","2015-01-03","2021-01-03",38.892542,-77.007415,"111 Russell Senate Office Building Washington DC 20510","http://www.ernst.senate.gov","202-224-3254","https://twitter.com/SenJoniErnst","https://www.facebook.com/senjoniernst","https://cdn.civil.services/senate/headshots/512x512/joni-ernst.jpg","Joni Ernst, a Senator from Iowa; born in Red Oak, Montgomery County, Iowa, July 1, 1970; B.A., Iowa State University, 1992; M.P.A., Columbus College (now Columbus State University), Columbus, Ga., 1995; United States Army Reserves, 1993-2001; Iowa Army National Guard, 2001-present, attaining the rank of lieutenant colonel; auditor of Montgomery County, Iowa, 2005-2011; member of the Iowa state Senate 2011-2014; elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021."
"IA","G000386","00457","300048","N00001758","53293","republican","active",false,false,false,false,"III","male","white","Charles Grassley","charles-grassley","1933-09-17","1981-01-03","2023-01-03",38.892839,-77.004356,"135 Hart Senate Office Building Washington DC 20510","http://www.grassley.senate.gov","202-224-3744","https://twitter.com/ChuckGrassley","https://www.facebook.com/grassley","https://cdn.civil.services/senate/headshots/512x512/charles-grassley.jpg","Charles Grassley, a Senator and a Representative from Iowa; born in New Hartford, Butler County, Iowa, September 17, 1933; attended the public schools; graduated, University of Northern Iowa, Cedar Falls 1955; received a graduate degree from the same university in 1956; pursued graduate work, University of Iowa, Iowa City 1957-1958; engaged in agriculture; part-time university instructor; member, Iowa house of representatives 1959-1974; elected in 1974 as a Republican to the Ninety-fourth Congress; reelected to the Ninety-fifth and Ninety-sixth Congresses (January 3, 1975-January 3, 1981); was not a candidate in 1980 for reelection to the House of Representatives, but was elected to the Senate in 1980; reelected in 1986, 1992, 1998, 2004 and again in 2010 for the term ending January 3, 2017; Chair, Special Committee on Aging (One Hundred Fifth Congress), Committee on Finance (One Hundred Seventh Congress [January 20 to June 6, 2001], One Hundred Eighth and One Hundred Ninth Congresses), Committee on the Judiciary (One Hundred Fourteenth Congress)."
"ID","R000584","01896","412322","N00029441","2919","republican","active",false,false,false,false,"II","male","white","James Risch","james-risch","1943-05-03","2009-01-03","2021-01-03",38.892542,-77.007415,"483 Russell Senate Office Building Washington DC 20510","http://www.risch.senate.gov","202-224-2752","https://twitter.com/SenatorRisch","https://www.facebook.com/SenatorRisch","https://cdn.civil.services/senate/headshots/512x512/james-risch.jpg","James Risch, a Senator from Idaho; born in Milwaukee, Wis., May 3, 1943; B.A., attended the University of Wisconsin, Milwaukee, 1961-1963; B.S. in Forestry, University of Idaho, 1965; J.D., University of Idaho College of Law, 1968; Ada County, Idaho, prosecuting attorney, 1970-1974; Idaho State Senator, 1974-1989 and 1995-2003, serving as majority leader (1976-1982), and as president pro tempore (1982-1989); lieutenant governor of Idaho, 2003-2006 and 2007-2009; governor of Idaho, 2006; elected as a Republican to the United States Senate in 2008; reelected in 2014 for the term ending January 3, 2021."
"ID","C000880","00250","300030","N00006267","26830","republican","active",false,false,false,false,"III","male","white","Michael Crapo","michael-crapo","1951-05-20","1999-01-03","2023-01-03",38.892947,-77.075686,"239 Dirksen Senate Office Building Washington DC 20510","http://www.crapo.senate.gov","202-224-6142","https://twitter.com/MikeCrapo","https://www.facebook.com/mikecrapo","https://cdn.civil.services/senate/headshots/512x512/michael-crapo.jpg","Michael Crapo, a Senator and a Representative from Idaho; born in Idaho Falls, Bonneville County, Idaho, May 20, 1951; graduated Idaho Falls High School 1969; B.A., Brigham Young University 1973; J.D., Harvard University School of Law 1977; admitted to the bar in 1977; law clerk to Judge James M. Carter, United States Court of Appeals, Ninth Circuit 1977-1978; practiced law in San Diego 1978-1979, and in Idaho Falls 1979-1992; vice chair, Bonneville County Republican Committee 1979-1981; vice chair, Legislative District 29 Republican Committee 1982-1984; Idaho State Senator 1985-1992; elected as a Republican to the One Hundred Third and to the two succeeding Congresses (January 3, 1993-January 3, 1999); was not a candidate for reelection to the U.S. House of Representatives, but was elected to the United States Senate in 1998; reelected in 2004 and again in 2010 for the term ending January 3, 2017."
